county,municipality,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
,KLIPPAN,0.0,0.0,9.0,1.0,26.0,1.0,2.0,0.0,12.0,0.0,49.0,2.0
,KRISTIANSTAD,0.0,0.0,20.0,17.0,384.0,22.0,2.0,0.0,180.0,0.0,586.0,39.0
,KÄVLINGE,0.0,0.0,15.0,4.0,13.0,0.0,0.0,0.0,8.0,0.0,36.0,4.0
,LANDSKRONA,0.0,0.0,13.0,11.0,139.0,8.0,1.0,0.0,133.0,0.0,286.0,19.0
,LOMMA,3.0,0.0,11.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,18.0,6.0
,LUND,0.0,0.0,14.0,13.0,84.0,0.0,4.0,0.0,63.0,0.0,165.0,13.0
,MALMÖ,1.0,0.0,44.0,38.0,875.0,58.0,21.0,0.0,678.0,0.0,1619.0,96.0
,OSBY,23.0,0.0,14.0,9.0,89.0,2.0,0.0,0.0,61.0,0.0,187.0,11.0
,PERSTORP,0.0,0.0,12.0,6.0,53.0,0.0,6.0,0.0,17.0,0.0,88.0,6.0
,SIMRISHAMN,0.0,0.0,25.0,6.0,142.0,8.0,4.0,0.0,64.0,0.0,235.0,14.0
,SJÖBO,0.0,0.0,32.0,7.0,10.0,0.0,0.0,0.0,1.0,0.0,43.0,7.0
,SKURUP,0.0,0.0,6.0,3.0,27.0,0.0,0.0,0.0,10.0,0.0,43.0,3.0
,STAFFANSTORP,0.0,0.0,4.0,2.0,11.0,2.0,0.0,0.0,1.0,0.0,16.0,4.0
,SVALÖV,0.0,0.0,15.0,11.0,41.0,6.0,2.0,0.0,20.0,0.0,78.0,17.0
,SVEDALA,0.0,0.0,22.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,37.0,3.0
,TOMELILLA,0.0,0.0,12.0,5.0,44.0,2.0,0.0,0.0,15.0,0.0,71.0,7.0
,TRELLEBORG,1.0,0.0,17.0,17.0,53.0,1.0,0.0,0.0,53.0,0.0,124.0,18.0
,VELLINGE,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,2.0
,YSTAD,0.0,0.0,8.0,4.0,69.0,9.0,0.0,0.0,21.0,0.0,98.0,13.0
,ÅSTORP,3.0,0.0,13.0,2.0,84.0,1.0,1.0,0.0,48.0,0.0,149.0,3.0
,ÄNGELHOLM,0.0,0.0,16.0,9.0,26.0,4.0,1.0,0.0,26.0,0.0,69.0,13.0
,ÖRKELLJUNGA,6.0,0.0,38.0,12.0,25.0,4.0,0.0,0.0,24.0,0.0,93.0,16.0
,ÖSTRA GÖINGE,1.0,0.0,10.0,3.0,202.0,5.0,5.0,0.0,150.0,0.0,368.0,8.0
SKÅNE LÄN,Delsumma,60.0,0.0,495.0,273.0,3370.0,177.0,73.0,1.0,2156.0,0.0,6154.0,451.0
STOCKHOLMS LÄN,BOTKYRKA,0.0,0.0,20.0,14.0,309.0,2.0,21.0,0.0,90.0,1.0,440.0,17.0
,DANDERYD,0.0,0.0,36.0,3.0,27.0,2.0,0.0,0.0,0.0,0.0,63.0,5.0
,EKERÖ,0.0,0.0,32.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0
,HANINGE,0.0,0.0,33.0,29.0,80.0,9.0,5.0,0.0,47.0,0.0,165.0,38.0
,HUDDINGE,0.0,0.0,93.0,19.0,134.0,3.0,9.0,0.0,104.0,0.0,340.0,22.0
,JÄRFÄLLA,13.0,0.0,42.0,33.0,209.0,6.0,5.0,1.0,52.0,0.0,321.0,40.0
,LIDINGÖ,10.0,0.0,37.0,6.0,11.0,1.0,0.0,0.0,2.0,0.0,60.0,7.0
,NACKA,4.0,0.0,57.0,13.0,65.0,2.0,3.0,0.0,6.0,0.0,135.0,15.0
,NORRTÄLJE,0.0,0.0,22.0,17.0,44.0,5.0,3.0,2.0,61.0,0.0,130.0,24.0
,NYKVARN,2.0,0.0,7.0,7.0,7.0,1.0,0.0,0.0,9.0,0.0,25.0,8.0
,NYNÄSHAMN,0.0,0.0,24.0,8.0,9.0,0.0,1.0,0.0,17.0,0.0,51.0,8.0
,SALEM,0.0,0.0,15.0,2.0,44.0,2.0,0.0,0.0,10.0,0.0,69.0,4.0
,SIGTUNA,0.0,0.0,24.0,13.0,128.0,1.0,2.0,1.0,56.0,0.0,210.0,15.0
,SOLLENTUNA,0.0,0.0,45.0,6.0,99.0,4.0,0.0,0.0,54.0,0.0,198.0,10.0
,SOLNA,0.0,0.0,21.0,9.0,52.0,1.0,1.0,0.0,23.0,0.0,97.0,10.0
,STOCKHOLM,29.0,0.0,235.0,171.0,1158.0,58.0,41.0,2.0,624.0,1.0,2087.0,232.0
,SUNDBYBERG,5.0,0.0,22.0,3.0,176.0,9.0,8.0,0.0,42.0,0.0,253.0,12.0
,SÖDERTÄLJE,3.0,0.0,17.0,15.0,723.0,18.0,21.0,0.0,153.0,0.0,917.0,33.0
,TYRESÖ,11.0,0.0,28.0,15.0,16.0,3.0,2.0,0.0,18.0,0.0,75.0,18.0
,TÄBY,0.0,0.0,46.0,4.0,31.0,1.0,0.0,0.0,9.0,0.0,86.0,5.0
,UPPLANDS-BRO,0.0,0.0,31.0,16.0,41.0,1.0,1.0,0.0,18.0,0.0,91.0,17.0
,UPPLANDS-VÄSBY,0.0,0.0,90.0,38.0,49.0,1.0,3.0,0.0,24.0,0.0,166.0,39.0
,VALLENTUNA,0.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,11.0,4.0
,VAXHOLM,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0
,VÄRMDÖ,10.0,0.0,16.0,12.0,20.0,0.0,0.0,0.0,4.0,0.0,50.0,12.0
,ÖSTERÅKER,0.0,0.0,45.0,11.0,24.0,0.0,0.0,0.0,5.0,0.0,74.0,11.0
STOCKHOLMS LÄN,Delsumma,87.0,0.0,1046.0,474.0,3463.0,132.0,126.0,6.0,1430.0,2.0,6152.0,614.0
SÖDERMANLANDS LÄN,ESKILSTUNA,0.0,0.0,64.0,30.0,659.0,19.0,24.0,0.0,256.0,0.0,1003.0,49.0
,FLEN,0.0,0.0,22.0,5.0,180.0,9.0,3.0,0.0,98.0,0.0,303.0,14.0
,GNESTA,0.0,0.0,19.0,4.0,4.0,2.0,0.0,0.0,7.0,0.0,30.0,6.0
,KATRINEHOLM,0.0,0.0,11.0,5.0,122.0,6.0,4.0,0.0,91.0,0.0,228.0,11.0
,NYKÖPING,8.0,0.0,14.0,12.0,73.0,3.0,17.0,0.0,66.0,0.0,178.0,15.0
,OXELÖSUND,0.0,0.0,19.0,5.0,98.0,2.0,6.0,0.0,93.0,0.0,216.0,7.0
,STRÄNGNÄS,0.0,0.0,12.0,10.0,50.0,3.0,1.0,1.0,26.0,0.0,89.0,14.0
,TROSA,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,34.0,0.0
,VINGÅKER,0.0,0.0,20.0,9.0,43.0,5.0,0.0,0.0,41.0,0.0,104.0,14.0
SÖDERMANLANDS LÄN,Delsumma,8.0,0.0,195.0,80.0,1244.0,49.0,55.0,1.0,683.0,0.0,2185.0,130.0
UPPSALA LÄN,ENKÖPING,0.0,0.0,32.0,4.0,60.0,4.0,1.0,0.0,48.0,0.0,141.0,8.0
,HEBY,19.0,0.0,13.0,9.0,17.0,2.0,5.0,0.0,6.0,0.0,60.0,11.0
,HÅBO,0.0,0.0,16.0,11.0,4.0,0.0,0.0,0.0,23.0,0.0,43.0,11.0
,KNIVSTA,5.0,0.0,7.0,7.0,10.0,1.0,0.0,0.0,10.0,0.0,32.0,8.0
,TIERP,0.0,0.0,4.0,3.0,24.0,0.0,0.0,0.0,31.0,0.0,59.0,3.0
,UPPSALA,4.0,0.0,90.0,47.0,368.0,26.0,8.0,0.0,324.0,0.0,794.0,73.0
,ÄLVKARLEBY,1.0,0.0,16.0,6.0,48.0,0.0,0.0,0.0,37.0,0.0,102.0,6.0
,ÖSTHAMMAR,19.0,0.0,6.0,6.0,11.0,0.0,0.0,0.0,14.0,0.0,50.0,6.0
UPPSALA LÄN,Delsumma,48.0,0.0,184.0,93.0,542.0,33.0,14.0,0.0,493.0,0.0,1281.0,126.0
VÄRMLANDS LÄN,ARVIKA,14.0,0.0,29.0,5.0,37.0,2.0,0.0,0.0,22.0,0.0,102.0,7.0
,EDA,3.0,0.0,21.0,3.0,4.0,0.0,0.0,0.0,22.0,0.0,50.0,3.0
,FILIPSTAD,0.0,0.0,13.0,6.0,120.0,3.0,2.0,0.0,75.0,0.0,210.0,9.0
,FORSHAGA,2.0,0.0,9.0,5.0,8.0,2.0,0.0,0.0,18.0,0.0,37.0,7.0
,GRUMS,7.0,0.0,14.0,5.0,20.0,1.0,0.0,0.0,54.0,0.0,95.0,6.0
,HAGFORS,0.0,0.0,15.0,8.0,89.0,4.0,1.0,0.0,20.0,0.0,125.0,12.0
,HAMMARÖ,0.0,0.0,9.0,4.0,6.0,0.0,0.0,0.0,8.0,0.0,23.0,4.0
,KARLSTAD,16.0,0.0,129.0,14.0,75.0,5.0,0.0,0.0,44.0,0.0,264.0,19.0
,KIL,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
,KRISTINEHAMN,15.0,0.0,26.0,10.0,151.0,7.0,0.0,0.0,128.0,0.0,320.0,17.0
,MUNKFORS,0.0,0.0,2.0,2.0,10.0,1.0,1.0,1.0,43.0,0.0,56.0,4.0
,STORFORS,14.0,0.0,13.0,4.0,27.0,0.0,0.0,0.0,15.0,0.0,69.0,4.0
,SUNNE,5.0,0.0,7.0,4.0,46.0,3.0,0.0,0.0,56.0,0.0,114.0,7.0
,SÄFFLE,0.0,0.0,33.0,6.0,115.0,6.0,1.0,0.0,50.0,0.0,199.0,12.0
,TORSBY,3.0,0.0,18.0,1.0,43.0,0.0,0.0,0.0,33.0,0.0,97.0,1.0
,ÅRJÄNG,17.0,0.0,8.0,4.0,11.0,2.0,5.0,0.0,17.0,0.0,58.0,6.0
VÄRMLANDS LÄN,Delsumma,101.0,0.0,348.0,83.0,763.0,36.0,10.0,1.0,605.0,0.0,1827.0,120.0
VÄSTERBOTTENS LÄN,BJURHOLM,7.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,22.0,3.0
,DOROTEA,30.0,0.0,6.0,4.0,7.0,0.0,0.0,0.0,14.0,0.0,57.0,4.0
,LYCKSELE,45.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,56.0,4.0
,MALÅ,8.0,0.0,12.0,6.0,3.0,3.0,0.0,0.0,10.0,0.0,33.0,9.0
,NORDMALING,10.0,0.0,13.0,8.0,19.0,0.0,0.0,0.0,3.0,0.0,45.0,8.0
,NORSJÖ,19.0,0.0,12.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,35.0,8.0
,ROBERTSFORS,0.0,0.0,30.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,37.0,4.0
,SKELLEFTEÅ,18.0,0.0,19.0,16.0,171.0,7.0,8.0,0.0,55.0,1.0,271.0,24.0
,SORSELE,4.0,0.0,10.0,7.0,1.0,1.0,0.0,0.0,29.0,0.0,44.0,8.0
,STORUMAN,19.0,0.0,18.0,6.0,1.0,1.0,1.0,0.0,21.0,0.0,60.0,7.0
,UMEÅ,6.0,0.0,35.0,16.0,55.0,1.0,2.0,0.0,87.0,0.0,185.0,17.0
,VILHELMINA,31.0,0.0,17.0,8.0,24.0,1.0,0.0,0.0,17.0,0.0,89.0,9.0
,VINDELN,16.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,43.0,8.0
,VÄNNÄS,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,21.0,1.0
,ÅSELE,14.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,29.0,6.0
VÄSTERBOTTENS LÄN,Delsumma,227.0,2.0,217.0,103.0,293.0,14.0,11.0,0.0,279.0,1.0,1027.0,120.0
VÄSTERNORRLANDS LÄN,HÄRNÖSAND,57.0,1.0,13.0,7.0,248.0,2.0,5.0,0.0,127.0,0.0,450.0,10.0
,KRAMFORS,8.0,0.0,83.0,10.0,94.0,1.0,3.0,0.0,33.0,0.0,221.0,11.0
,SOLLEFTEÅ,72.0,0.0,32.0,7.0,168.0,4.0,0.0,0.0,39.0,0.0,311.0,11.0
,SUNDSVALL,23.0,0.0,19.0,17.0,227.0,7.0,1.0,0.0,118.0,0.0,388.0,24.0
,TIMRÅ,0.0,0.0,12.0,8.0,35.0,5.0,0.0,0.0,19.0,0.0,66.0,13.0
