county,municipality,0-17,of_which_unaccompanied_minors,18-19,of_which_unaccompanied_minors.1,20-64,of_which_unaccompanied_minors.2,>64,of_which_unaccompanied_minors.3,total,of_which_unaccompanied_minors.4
,YSTAD,38.0,10.0,10.0,3.0,50.0,0.0,0.0,0.0,98.0,13.0
,ÅSTORP,66.0,3.0,6.0,0.0,74.0,0.0,3.0,0.0,149.0,3.0
,ÄNGELHOLM,34.0,11.0,4.0,2.0,31.0,0.0,0.0,0.0,69.0,13.0
,ÖRKELLJUNGA,49.0,12.0,6.0,4.0,38.0,0.0,0.0,0.0,93.0,16.0
,ÖSTRA GÖINGE,154.0,5.0,13.0,3.0,198.0,0.0,3.0,0.0,368.0,8.0
SKÅNE LÄN,Delsumma,2566.0,362.0,224.0,71.0,3314.0,17.0,50.0,1.0,6154.0,451.0
STOCKHOLMS LÄN,BOTKYRKA,152.0,17.0,12.0,0.0,262.0,0.0,14.0,0.0,440.0,17.0
,DANDERYD,20.0,3.0,2.0,1.0,38.0,1.0,3.0,0.0,63.0,5.0
,EKERÖ,18.0,4.0,2.0,0.0,14.0,0.0,0.0,0.0,34.0,4.0
,HANINGE,77.0,33.0,7.0,4.0,80.0,1.0,1.0,0.0,165.0,38.0
,HUDDINGE,154.0,19.0,7.0,1.0,169.0,1.0,10.0,1.0,340.0,22.0
,JÄRFÄLLA,109.0,37.0,9.0,1.0,188.0,2.0,15.0,0.0,321.0,40.0
,LIDINGÖ,28.0,5.0,3.0,2.0,29.0,0.0,0.0,0.0,60.0,7.0
,NACKA,56.0,13.0,4.0,1.0,70.0,1.0,5.0,0.0,135.0,15.0
,NORRTÄLJE,67.0,21.0,5.0,3.0,58.0,0.0,0.0,0.0,130.0,24.0
,NYKVARN,15.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,25.0,8.0
,NYNÄSHAMN,29.0,7.0,2.0,1.0,20.0,0.0,0.0,0.0,51.0,8.0
,SALEM,27.0,2.0,5.0,1.0,34.0,1.0,3.0,0.0,69.0,4.0
,SIGTUNA,75.0,13.0,5.0,1.0,126.0,1.0,4.0,0.0,210.0,15.0
,SOLLENTUNA,76.0,7.0,7.0,3.0,111.0,0.0,4.0,0.0,198.0,10.0
,SOLNA,36.0,8.0,6.0,2.0,54.0,0.0,1.0,0.0,97.0,10.0
,STOCKHOLM,750.0,208.0,67.0,16.0,1225.0,8.0,45.0,0.0,2087.0,232.0
,SUNDBYBERG,73.0,6.0,9.0,1.0,167.0,5.0,4.0,0.0,253.0,12.0
,SÖDERTÄLJE,260.0,31.0,34.0,1.0,557.0,1.0,66.0,0.0,917.0,33.0
,TYRESÖ,41.0,16.0,3.0,2.0,30.0,0.0,1.0,0.0,75.0,18.0
,TÄBY,35.0,4.0,2.0,1.0,47.0,0.0,2.0,0.0,86.0,5.0
,UPPLANDS-BRO,41.0,17.0,0.0,0.0,45.0,0.0,5.0,0.0,91.0,17.0
,UPPLANDS-VÄSBY,90.0,37.0,4.0,2.0,70.0,0.0,2.0,0.0,166.0,39.0
,VALLENTUNA,5.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,4.0
,VAXHOLM,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
,VÄRMDÖ,29.0,12.0,2.0,0.0,19.0,0.0,0.0,0.0,50.0,12.0
,ÖSTERÅKER,40.0,11.0,2.0,0.0,32.0,0.0,0.0,0.0,74.0,11.0
STOCKHOLMS LÄN,Delsumma,2307.0,547.0,199.0,44.0,3461.0,22.0,185.0,1.0,6152.0,614.0
SÖDERMANLANDS LÄN,ESKILSTUNA,311.0,40.0,42.0,6.0,642.0,3.0,8.0,0.0,1003.0,49.0
,FLEN,116.0,10.0,9.0,4.0,175.0,0.0,3.0,0.0,303.0,14.0
,GNESTA,17.0,6.0,1.0,0.0,12.0,0.0,0.0,0.0,30.0,6.0
,KATRINEHOLM,74.0,9.0,4.0,1.0,148.0,1.0,2.0,0.0,228.0,11.0
,NYKÖPING,70.0,12.0,2.0,2.0,98.0,1.0,8.0,0.0,178.0,15.0
,OXELÖSUND,82.0,5.0,8.0,2.0,125.0,0.0,1.0,0.0,216.0,7.0
,STRÄNGNÄS,38.0,13.0,0.0,0.0,50.0,1.0,1.0,0.0,89.0,14.0
,TROSA,13.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,34.0,0.0
,VINGÅKER,46.0,12.0,5.0,2.0,53.0,0.0,0.0,0.0,104.0,14.0
SÖDERMANLANDS LÄN,Delsumma,767.0,107.0,71.0,17.0,1324.0,6.0,23.0,0.0,2185.0,130.0
UPPSALA LÄN,ENKÖPING,49.0,6.0,10.0,2.0,79.0,0.0,3.0,0.0,141.0,8.0
,HEBY,29.0,10.0,3.0,1.0,28.0,0.0,0.0,0.0,60.0,11.0
,HÅBO,26.0,9.0,3.0,2.0,14.0,0.0,0.0,0.0,43.0,11.0
,KNIVSTA,20.0,5.0,3.0,3.0,9.0,0.0,0.0,0.0,32.0,8.0
,TIERP,24.0,3.0,1.0,0.0,32.0,0.0,2.0,0.0,59.0,3.0
,UPPSALA,314.0,56.0,32.0,7.0,437.0,10.0,11.0,0.0,794.0,73.0
,ÄLVKARLEBY,35.0,6.0,3.0,0.0,63.0,0.0,1.0,0.0,102.0,6.0
,ÖSTHAMMAR,24.0,6.0,1.0,0.0,23.0,0.0,2.0,0.0,50.0,6.0
UPPSALA LÄN,Delsumma,521.0,101.0,56.0,15.0,685.0,10.0,19.0,0.0,1281.0,126.0
VÄRMLANDS LÄN,ARVIKA,40.0,5.0,2.0,2.0,60.0,0.0,0.0,0.0,102.0,7.0
,EDA,28.0,3.0,1.0,0.0,21.0,0.0,0.0,0.0,50.0,3.0
,FILIPSTAD,72.0,7.0,5.0,2.0,132.0,0.0,1.0,0.0,210.0,9.0
,FORSHAGA,18.0,5.0,2.0,2.0,16.0,0.0,1.0,0.0,37.0,7.0
,GRUMS,51.0,5.0,3.0,1.0,41.0,0.0,0.0,0.0,95.0,6.0
,HAGFORS,48.0,11.0,5.0,1.0,72.0,0.0,0.0,0.0,125.0,12.0
,HAMMARÖ,12.0,2.0,3.0,2.0,8.0,0.0,0.0,0.0,23.0,4.0
,KARLSTAD,119.0,17.0,7.0,2.0,134.0,0.0,4.0,0.0,264.0,19.0
,KIL,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,8.0,2.0
,KRISTINEHAMN,130.0,14.0,14.0,3.0,176.0,0.0,0.0,0.0,320.0,17.0
,MUNKFORS,32.0,4.0,2.0,0.0,22.0,0.0,0.0,0.0,56.0,4.0
,STORFORS,34.0,4.0,1.0,0.0,34.0,0.0,0.0,0.0,69.0,4.0
,SUNNE,61.0,7.0,3.0,0.0,50.0,0.0,0.0,0.0,114.0,7.0
,SÄFFLE,75.0,10.0,8.0,1.0,115.0,1.0,1.0,0.0,199.0,12.0
,TORSBY,30.0,1.0,3.0,0.0,63.0,0.0,1.0,0.0,97.0,1.0
,ÅRJÄNG,33.0,4.0,3.0,2.0,22.0,0.0,0.0,0.0,58.0,6.0
VÄRMLANDS LÄN,Delsumma,787.0,100.0,63.0,19.0,969.0,1.0,8.0,0.0,1827.0,120.0
VÄSTERBOTTENS LÄN,BJURHOLM,14.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,22.0,3.0
,DOROTEA,25.0,3.0,0.0,0.0,32.0,1.0,0.0,0.0,57.0,4.0
,LYCKSELE,30.0,4.0,2.0,0.0,24.0,0.0,0.0,0.0,56.0,4.0
,MALÅ,21.0,9.0,1.0,0.0,11.0,0.0,0.0,0.0,33.0,9.0
