county,citizenship,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
,ERITREA,0.0,0.0,24.0,12.0,38.0,1.0,0.0,0.0,5.0,0.0,67.0,13.0
,ETIOPIEN,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,11.0,2.0
,IRAK,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0
,JEMEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
,JORDANIEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
,KAZAKSTAN,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
,LIBANON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,LIBYEN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,MAROCKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
,RYSSLAND,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0
,SOMALIA,0.0,0.0,9.0,4.0,7.0,1.0,0.0,0.0,26.0,0.0,42.0,5.0
,STATEN PALESTINA,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,0.0,13.0,1.0
,STATSLÖS,0.0,0.0,21.0,4.0,112.0,7.0,0.0,0.0,112.0,0.0,245.0,11.0
,SYRIEN,0.0,0.0,133.0,17.0,563.0,25.0,18.0,2.0,480.0,0.0,1194.0,44.0
,UGANDA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,VENEZUELA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,VITRYSSLAND,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
HALLANDS LÄN,Delsumma,0.0,0.0,212.0,48.0,761.0,36.0,19.0,3.0,654.0,0.0,1646.0,87.0
JÄMTLANDS LÄN,AFGHANISTAN,26.0,0.0,48.0,35.0,3.0,1.0,1.0,1.0,40.0,0.0,118.0,37.0
,COLOMBIA,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
,DEM REPUBLIKEN KONGO,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
,ELFENBENSKUSTEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
,ERITREA,4.0,0.0,155.0,17.0,180.0,7.0,5.0,0.0,33.0,1.0,377.0,25.0
,ETIOPIEN,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0
,GUINEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
,IRAK,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
,IRAN,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
,JORDANIEN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,KAMERUN,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
,MAROCKO,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
,MAURETANIEN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,MONGOLIET,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
,NIGERIA,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
